,precision,recall,f1-score,support
Automotive,0.7938144329896907,0.7287066246056783,0.7598684210526315,317.0
Construction,0.6926829268292682,0.7357512953367875,0.7135678391959798,386.0
Consumer Goods,0.5981132075471698,0.6264822134387352,0.6119691119691119,506.0
Financial Services,0.8393782383419689,0.7864077669902912,0.8120300751879699,412.0
Human Resources,0.7797619047619048,0.6787564766839378,0.7257617728531854,193.0
Information Technology and Services,0.7096057745696835,0.8491694352159468,0.7731397459165154,1505.0
Insurance,0.8053097345132744,0.728,0.7647058823529412,125.0
Legal Services,0.8955223880597015,0.9375,0.9160305343511451,128.0
"Leisure, Travel & Tourism",0.8429752066115702,0.8360655737704918,0.8395061728395061,122.0
Logistics and Supply Chain,0.8267716535433071,0.7142857142857143,0.7664233576642335,147.0
Machinery,0.5799180327868853,0.5603960396039604,0.5699899295065458,505.0
Management Consulting,0.6688741721854304,0.6056971514242878,0.6357199055861525,667.0
Marketing and Advertising,0.7180851063829787,0.7758620689655172,0.7458563535911602,522.0
Mechanical or Industrial Engineering,0.5758998435054773,0.6377816291161178,0.605263157894737,577.0
Media Production,0.5253164556962026,0.34439834024896265,0.41604010025062654,241.0
Medical Practice,0.8155619596541787,0.7949438202247191,0.8051209103840683,356.0
Real Estate,0.8798076923076923,0.7754237288135594,0.8243243243243243,236.0
Recreational Facilities and Services,0.6923076923076923,0.6923076923076923,0.6923076923076923,156.0
Renewables & Environment,0.7428571428571429,0.5048543689320388,0.6011560693641619,103.0
Telecommunications,0.7051282051282052,0.40145985401459855,0.5116279069767442,137.0
Wholesale,0.6444444444444445,0.5,0.5631067961165049,232.0
accuracy,0.7028918526343589,0.7028918526343589,0.7028918526343589,0.7028918526343589
macro avg,0.730101724524946,0.6768690378085255,0.6977864790326638,7573.0
weighted avg,0.7034121016441531,0.7028918526343589,0.6991450919265724,7573.0
