,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,199,2,20,3,2,25,0,0,0,2,13,10,6,30,0,1,0,1,0,0,3
Construction,2,242,19,1,3,27,0,0,2,2,34,14,5,18,0,1,10,2,1,0,3
Consumer Goods,11,19,256,5,0,51,0,0,0,0,34,12,3,69,3,7,2,15,4,3,12
Financial Services,7,1,9,309,2,37,11,4,1,2,1,19,1,0,1,3,3,1,0,0,0
Human Resources,1,1,0,1,118,25,1,0,0,0,2,28,9,3,0,3,0,1,0,0,0
Information Technology and Services,9,6,20,18,7,1272,2,1,4,4,10,61,26,16,23,12,2,3,1,7,1
Insurance,2,1,0,13,0,12,84,0,0,0,1,2,2,1,0,3,4,0,0,0,0
Legal Services,0,1,2,3,0,3,0,107,0,0,0,6,3,1,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,8,0,0,98,0,0,2,1,1,1,0,1,6,0,0,0
Logistics and Supply Chain,6,2,6,1,0,13,0,0,0,95,3,6,2,8,1,1,0,0,1,0,2
Machinery,12,23,27,2,0,26,0,0,1,2,255,10,4,115,0,5,3,1,4,1,14
Management Consulting,7,12,7,14,17,144,2,5,1,2,5,385,28,5,7,15,3,2,4,2,0
Marketing and Advertising,5,9,16,2,1,55,0,0,2,2,3,23,373,0,18,2,2,2,0,1,6
Mechanical or Industrial Engineering,16,14,35,1,1,48,0,0,0,3,100,14,2,326,0,5,0,2,0,1,9
Media Production,0,1,11,5,3,91,0,1,2,0,0,6,48,0,66,2,0,0,0,1,4
Medical Practice,1,3,9,0,0,32,3,0,0,0,15,14,2,17,1,252,1,3,1,0,2
Real Estate,0,19,1,6,0,15,5,0,2,2,2,7,3,3,0,4,167,0,0,0,0
Recreational Facilities and Services,0,1,12,0,2,7,0,0,1,0,9,4,8,3,0,6,0,95,3,0,5
Renewables & Environment,1,10,6,0,0,11,0,0,0,1,16,1,0,10,0,1,0,0,46,0,0
Telecommunications,1,3,11,2,1,53,0,0,0,0,6,6,5,4,2,0,0,1,1,40,1
Wholesale,4,12,37,1,0,15,0,0,0,1,22,3,8,18,0,5,0,12,0,0,94
