,precision,recall,f1-score,support
Automotive,0.7207207207207207,0.5047318611987381,0.5936920222634507,317.0
Construction,0.5916955017301038,0.4430051813471503,0.5066666666666667,386.0
Consumer Goods,0.47030878859857483,0.391304347826087,0.4271844660194175,506.0
Financial Services,0.8230088495575221,0.6771844660194175,0.7430093209054593,412.0
Human Resources,0.8145161290322581,0.5233160621761658,0.6372239747634069,193.0
Information Technology and Services,0.45021489971346706,0.8352159468438538,0.5850593437281824,1505.0
Insurance,0.8169014084507042,0.464,0.5918367346938777,125.0
Legal Services,0.8584905660377359,0.7109375,0.7777777777777777,128.0
"Leisure, Travel & Tourism",0.8723404255319149,0.6721311475409836,0.7592592592592592,122.0
Logistics and Supply Chain,0.7241379310344828,0.5714285714285714,0.6387832699619771,147.0
Machinery,0.43675417661097854,0.36237623762376237,0.3961038961038961,505.0
Management Consulting,0.5721311475409836,0.5232383808095952,0.5465935787000784,667.0
Marketing and Advertising,0.6693227091633466,0.6436781609195402,0.65625,522.0
Mechanical or Industrial Engineering,0.4128,0.44714038128249567,0.42928452579034937,577.0
Media Production,0.45098039215686275,0.1908713692946058,0.26822157434402333,241.0
Medical Practice,0.6975806451612904,0.4859550561797753,0.5728476821192053,356.0
Real Estate,0.8227848101265823,0.5508474576271186,0.6598984771573604,236.0
Recreational Facilities and Services,0.5789473684210527,0.28205128205128205,0.37931034482758624,156.0
Renewables & Environment,0.7450980392156863,0.36893203883495146,0.4935064935064935,103.0
Telecommunications,0.6938775510204082,0.24817518248175183,0.3655913978494624,137.0
Wholesale,0.41509433962264153,0.28448275862068967,0.3375959079283888,232.0
accuracy,0.546414895021788,0.546414895021788,0.546414895021788,0.546414895021788
macro avg,0.6494145904498724,0.48480968524316853,0.5412236530650629,7573.0
weighted avg,0.5800789284823563,0.546414895021788,0.5397077072616234,7573.0
