,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,160,6,16,2,1,62,0,0,0,4,12,10,3,30,1,2,0,3,0,0,5
Construction,0,171,19,0,2,96,0,1,3,2,24,19,3,25,0,6,8,1,2,0,4
Consumer Goods,15,17,198,2,0,117,0,1,0,3,31,7,1,66,2,7,1,9,3,0,26
Financial Services,3,0,5,279,1,70,9,3,1,1,2,14,4,4,2,4,5,0,1,1,3
Human Resources,0,2,0,1,101,43,0,0,0,0,3,30,4,5,1,2,0,0,0,0,1
Information Technology and Services,9,5,24,16,3,1257,2,1,2,5,14,61,32,26,21,9,2,2,1,8,5
Insurance,2,3,2,7,0,29,58,0,0,0,2,8,5,3,0,4,1,0,0,0,1
Legal Services,0,1,0,4,0,16,0,91,0,0,2,9,0,1,0,3,1,0,0,0,0
"Leisure, Travel & Tourism",1,1,2,0,0,25,0,0,82,0,1,2,1,1,0,2,1,2,0,0,1
Logistics and Supply Chain,3,2,5,1,0,36,0,0,1,84,4,1,2,2,1,2,0,0,0,0,3
Machinery,9,12,22,1,0,120,0,0,0,3,183,18,5,111,1,6,1,0,4,0,9
Management Consulting,1,8,12,12,12,199,1,5,0,2,9,349,24,10,4,10,3,2,0,2,2
Marketing and Advertising,0,6,12,2,0,107,0,0,3,1,5,19,336,2,17,0,3,2,0,2,5
Mechanical or Industrial Engineering,14,18,26,1,0,146,0,0,0,1,76,7,3,258,1,7,1,2,2,1,13
Media Production,0,3,7,1,3,99,0,2,1,1,1,8,57,5,46,4,0,1,0,1,1
Medical Practice,2,5,15,0,1,104,0,1,0,2,6,21,2,19,0,173,0,3,0,0,2
Real Estate,0,17,3,4,0,61,1,0,0,1,1,11,3,3,0,0,130,0,0,0,1
Recreational Facilities and Services,0,3,15,1,0,51,0,0,1,1,9,2,3,11,1,2,1,44,0,0,11
Renewables & Environment,1,1,5,2,0,20,0,0,0,1,13,6,0,14,1,1,0,0,38,0,0
Telecommunications,0,1,5,2,0,68,0,1,0,2,4,6,6,5,2,1,0,0,0,34,0
Wholesale,2,7,28,1,0,66,0,0,0,2,17,2,8,24,1,3,0,5,0,0,66
