,precision,recall,f1-score,support
Automotive,0.7152777777777778,0.6498422712933754,0.6809917355371901,317.0
Construction,0.6493506493506493,0.6476683937823834,0.6485084306095978,386.0
Consumer Goods,0.5057034220532319,0.525691699604743,0.5155038759689922,506.0
Financial Services,0.7835051546391752,0.7378640776699029,0.7600000000000001,412.0
Human Resources,0.7828947368421053,0.616580310880829,0.6898550724637681,193.0
Information Technology and Services,0.645473041709054,0.8431893687707641,0.7312013828867762,1505.0
Insurance,0.794392523364486,0.68,0.7327586206896552,125.0
Legal Services,0.9051724137931034,0.8203125,0.860655737704918,128.0
"Leisure, Travel & Tourism",0.8508771929824561,0.7950819672131147,0.8220338983050847,122.0
Logistics and Supply Chain,0.8135593220338984,0.6530612244897959,0.7245283018867925,147.0
Machinery,0.5,0.5267326732673268,0.5130183220829315,505.0
Management Consulting,0.6174055829228243,0.5637181409295352,0.5893416927899686,667.0
Marketing and Advertising,0.6841121495327103,0.7011494252873564,0.6925260170293284,522.0
Mechanical or Industrial Engineering,0.5055118110236221,0.5563258232235702,0.5297029702970297,577.0
Media Production,0.5,0.2987551867219917,0.374025974025974,241.0
Medical Practice,0.7987421383647799,0.7134831460674157,0.7537091988130564,356.0
Real Estate,0.8391959798994975,0.7076271186440678,0.767816091954023,236.0
Recreational Facilities and Services,0.644927536231884,0.5705128205128205,0.6054421768707482,156.0
Renewables & Environment,0.7142857142857143,0.4368932038834951,0.5421686746987951,103.0
Telecommunications,0.647887323943662,0.3357664233576642,0.44230769230769224,137.0
Wholesale,0.5502958579881657,0.40086206896551724,0.4638403990024938,232.0
accuracy,0.6459791364056516,0.6459791364056516,0.6459791364056516,0.6459791364056516
macro avg,0.6880271585113713,0.6086246592650318,0.6399969650440388,7573.0
weighted avg,0.6501766282482854,0.6459791364056516,0.6417250009305313,7573.0
