,precision,recall,f1-score,support
Automotive,0.6901408450704225,0.6182965299684543,0.6522462562396006,317.0
Construction,0.6513513513513514,0.6243523316062176,0.6375661375661376,386.0
Consumer Goods,0.5063829787234042,0.47035573122529645,0.48770491803278687,506.0
Financial Services,0.7936507936507936,0.7281553398058253,0.759493670886076,412.0
Human Resources,0.7466666666666667,0.5803108808290155,0.6530612244897959,193.0
Information Technology and Services,0.5861111111111111,0.8411960132890366,0.6908594815825375,1505.0
Insurance,0.7647058823529411,0.624,0.6872246696035241,125.0
Legal Services,0.9203539823008849,0.8125,0.8630705394190871,128.0
"Leisure, Travel & Tourism",0.8648648648648649,0.7868852459016393,0.8240343347639485,122.0
Logistics and Supply Chain,0.7416666666666667,0.6054421768707483,0.6666666666666667,147.0
Machinery,0.47026022304832715,0.500990099009901,0.4851390220517738,505.0
Management Consulting,0.5843949044585988,0.5502248875562219,0.5667953667953668,667.0
Marketing and Advertising,0.6552380952380953,0.6590038314176245,0.6571155682903534,522.0
Mechanical or Industrial Engineering,0.49032258064516127,0.5268630849220104,0.5079365079365079,577.0
Media Production,0.46511627906976744,0.24896265560165975,0.32432432432432434,241.0
Medical Practice,0.7525083612040134,0.6320224719101124,0.6870229007633588,356.0
Real Estate,0.8442211055276382,0.711864406779661,0.7724137931034482,236.0
Recreational Facilities and Services,0.6363636363636364,0.44871794871794873,0.5263157894736842,156.0
Renewables & Environment,0.6842105263157895,0.3786407766990291,0.48750000000000004,103.0
Telecommunications,0.7142857142857143,0.291970802919708,0.41450777202072536,137.0
Wholesale,0.551948051948052,0.36637931034482757,0.4404145077720207,232.0
accuracy,0.6173247061930542,0.6173247061930542,0.6173247061930542,0.6173247061930542
macro avg,0.6721316486125667,0.57176831073214,0.6091149262753203,7573.0
weighted avg,0.6252009828283762,0.6173247061930542,0.6112109048202075,7573.0
