,precision,recall,f1-score,support
Automotive,0.7296296296296296,0.6214511041009464,0.6712095400340716,317.0
Construction,0.6323907455012854,0.6373056994818653,0.6348387096774194,386.0
Consumer Goods,0.5009560229445507,0.5177865612648221,0.509232264334305,506.0
Financial Services,0.7877237851662404,0.7475728155339806,0.7671232876712328,412.0
Human Resources,0.7876712328767124,0.5958549222797928,0.6784660766961651,193.0
Information Technology and Services,0.6349047141424273,0.8411960132890366,0.723635324378394,1505.0
Insurance,0.7757009345794392,0.664,0.7155172413793103,125.0
Legal Services,0.8991596638655462,0.8359375,0.8663967611336032,128.0
"Leisure, Travel & Tourism",0.8521739130434782,0.8032786885245902,0.8270042194092827,122.0
Logistics and Supply Chain,0.7704918032786885,0.6394557823129252,0.6988847583643123,147.0
Machinery,0.499054820415879,0.5227722772277228,0.5106382978723405,505.0
Management Consulting,0.6131147540983607,0.56071964017991,0.5857478465152701,667.0
Marketing and Advertising,0.6610486891385767,0.6762452107279694,0.6685606060606061,522.0
Mechanical or Industrial Engineering,0.5173501577287066,0.5684575389948007,0.541701073492981,577.0
Media Production,0.46715328467153283,0.26556016597510373,0.3386243386243386,241.0
Medical Practice,0.7689969604863222,0.7106741573033708,0.7386861313868613,356.0
Real Estate,0.8217821782178217,0.7033898305084746,0.7579908675799087,236.0
Recreational Facilities and Services,0.6515151515151515,0.5512820512820513,0.5972222222222221,156.0
Renewables & Environment,0.676923076923077,0.42718446601941745,0.5238095238095238,103.0
Telecommunications,0.7288135593220338,0.31386861313868614,0.4387755102040816,137.0
Wholesale,0.5843373493975904,0.41810344827586204,0.48743718592964824,232.0
accuracy,0.6401690215238347,0.6401690215238347,0.6401690215238347,0.6401690215238347
macro avg,0.6838520203306214,0.6010522136391108,0.6324524660369465,7573.0
weighted avg,0.6446408788238709,0.6401690215238347,0.6350760887152873,7573.0
