,precision,recall,f1-score,support
Automotive,0.4246575342465753,0.19558359621451105,0.26781857451403884,317.0
Construction,0.2849162011173184,0.13212435233160622,0.1805309734513274,386.0
Consumer Goods,0.2967741935483871,0.18181818181818182,0.22549019607843138,506.0
Financial Services,0.4472573839662447,0.25728155339805825,0.32665639445300465,412.0
Human Resources,0.37662337662337664,0.15025906735751296,0.21481481481481482,193.0
Information Technology and Services,0.2630484988452656,0.7568106312292359,0.39040274207369324,1505.0
Insurance,0.4146341463414634,0.136,0.20481927710843373,125.0
Legal Services,0.6727272727272727,0.2890625,0.40437158469945356,128.0
"Leisure, Travel & Tourism",0.5192307692307693,0.22131147540983606,0.3103448275862069,122.0
Logistics and Supply Chain,0.4444444444444444,0.19047619047619047,0.26666666666666666,147.0
Machinery,0.23582089552238805,0.15643564356435644,0.1880952380952381,505.0
Management Consulting,0.3231441048034934,0.22188905547226387,0.26311111111111113,667.0
Marketing and Advertising,0.3389261744966443,0.19348659003831417,0.24634146341463417,522.0
Mechanical or Industrial Engineering,0.24770642201834864,0.18717504332755633,0.21322803553800593,577.0
Media Production,0.24675324675324675,0.07883817427385892,0.11949685534591195,241.0
Medical Practice,0.3401360544217687,0.1404494382022472,0.1988071570576541,356.0
Real Estate,0.48717948717948717,0.24152542372881355,0.3229461756373938,236.0
Recreational Facilities and Services,0.2564102564102564,0.0641025641025641,0.10256410256410255,156.0
Renewables & Environment,0.3333333333333333,0.07766990291262135,0.12598425196850394,103.0
Telecommunications,0.2,0.043795620437956206,0.0718562874251497,137.0
Wholesale,0.22950819672131148,0.1206896551724138,0.15819209039548024,232.0
accuracy,0.29076984022184077,0.29076984022184077,0.29076984022184077,0.29076984022184077
macro avg,0.35158247584530455,0.1922278409270523,0.2286923247618693,7573.0
weighted avg,0.319451779410011,0.29076984022184077,0.2588300559473654,7573.0
