,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,54,1,5,1,2,223,0,0,2,2,6,1,3,11,0,2,1,0,0,0,3
Construction,1,30,5,2,3,297,1,0,2,0,9,9,5,12,1,2,5,0,0,1,1
Consumer Goods,4,6,47,4,0,380,0,2,0,3,8,5,2,21,1,3,2,2,2,1,13
Financial Services,1,3,3,75,0,283,5,4,0,0,9,10,3,6,2,0,6,0,0,1,1
Human Resources,0,6,1,2,24,137,0,2,1,0,2,8,3,4,0,3,0,0,0,0,0
Information Technology and Services,5,9,10,12,4,1328,3,3,0,4,12,50,21,19,11,7,3,1,0,2,1
Insurance,2,2,1,2,1,97,12,0,0,0,0,1,1,1,0,2,2,0,0,0,1
Legal Services,0,2,0,4,0,90,0,27,0,0,0,1,0,0,2,0,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,2,1,79,0,0,24,0,2,5,2,0,0,0,1,2,0,0,1
Logistics and Supply Chain,2,0,3,1,0,107,0,0,0,21,3,2,0,3,1,1,0,0,0,1,2
Machinery,3,4,7,4,0,363,0,0,0,3,50,7,4,34,2,5,1,1,6,0,11
Management Consulting,1,3,2,8,8,491,1,7,3,0,8,97,11,10,3,3,3,0,1,3,4
Marketing and Advertising,2,2,2,3,3,390,0,0,6,1,2,10,83,4,6,4,2,0,0,0,2
Mechanical or Industrial Engineering,6,6,12,0,3,435,0,0,0,2,20,12,2,67,2,2,1,0,2,0,5
Media Production,0,0,1,1,0,184,1,0,1,2,5,4,21,3,14,1,0,0,1,0,2
Medical Practice,1,3,7,2,2,268,1,0,0,2,3,6,7,11,2,34,1,2,0,0,4
Real Estate,1,6,4,4,0,164,0,0,1,0,0,4,1,5,0,1,42,0,0,0,3
Recreational Facilities and Services,0,0,9,1,0,129,0,0,0,0,2,2,1,2,0,2,0,4,0,0,4
Renewables & Environment,0,1,0,0,0,84,0,1,0,0,4,2,1,3,0,0,0,0,7,0,0
Telecommunications,0,2,2,1,0,121,0,0,0,0,3,2,0,1,2,0,0,0,0,3,0
Wholesale,2,2,19,3,1,167,0,0,1,2,4,5,3,8,1,4,0,4,0,0,6
