feature,value
software,0.003974642138928175
einkaufen,0.003549600252881646
gas,0.0035294003318995237
banking,0.003035377012565732
volkswagen,0.0028616732452064753
bank,0.0024734018370509148
autohaus,0.0023437521886080503
hotel,0.002240618458017707
patienten,0.002225631382316351
steuerberater,0.002155162626877427
personalvermittlung,0.002072351984679699
organisation,0.001969331642612815
gebrauchtwagen,0.001874611945822835
tiefbau,0.0018548558000475168
it,0.0018403752474114299
werbeagentur,0.0018356598448008299
cars,0.0017872275784611702
login,0.0017360616475343704
konstruktion,0.0016896319575607777
cloud,0.0016895397566258907
work,0.001590679050423205
zugang,0.0015818580286577344
bauen,0.0015685402322560549
stadtwerke,0.0015465498436242342
immobilien,0.0015142381889745593
wohnen,0.001471064635552466
enterprise,0.0014610561775043607
maschinenbau,0.0014509089523926377
liquidita,0.0014508009189739823
vera,0.0014084720751270652
fach,0.0014064761344343424
ausstellungen,0.0013905944069847465
methoden,0.0013773245736956596
logistics,0.001337279798462987
change,0.001330121885985136
industrielle,0.0013128374703228474
transformation,0.001308260834775865
vermo,0.00128662190400064
financial,0.0012430078350007534
connectivity,0.0012415738310664892
automotive,0.0012254953617230058
account,0.001223135506734252
commerce,0.0012169060064479709
agentur,0.0011991601204499602
electronics,0.0011658640578389168
print,0.001155918464064598
blech,0.0011499150423333049
bewerber,0.0011419591028243303
filialen,0.0011331973364576697
microsoft,0.0011210639495402575
credit,0.0011189428623765707
third,0.0011145502794533968
zubeho,0.0011144920717924833
kliniken,0.0011127383913844824
immobilie,0.0011069292668253183
metall,0.00110522354952991
workshop,0.001099156797863543
packaging,0.0010961851803585887
artikel,0.0010922939982265234
seo,0.0010745718609541655
sten,0.0010744183091446757
spedition,0.0010649733012542129
apotheke,0.0010456832824274898
executive,0.0010413004783913493
electronic,0.0010373152326792479
controlling,0.0010335209080949426
webdesign,0.0010291021317243576
automation,0.0010286516044288874
werbung,0.0010252463398501277
strom,0.0010228094179183245
personal,0.0010150184389203787
abholung,0.0010103498352691531
systemhaus,0.0010093089658766985
estate,0.0010065283859148622
marketing,0.000985652906820178
consulting,0.000981382094323635
zision,0.0009790316689759493
brand,0.0009776242077350616
wirtschaftspru,0.0009761475957930088
restaurant,0.0009674595203250647
fenster,0.0009659315110184252
medical,0.0009592935093678534
co2,0.0009574835421517491
patient,0.0009564717765897512
volvo,0.0009559149038977921
kanzlei,0.0009538839804008603
unternehmensberatung,0.0009534831042401493
leadership,0.0009491447708569467
coffee,0.0009461709996685386
maschine,0.0009440093417651951
steuerberatung,0.0009426041506230831
logistik,0.0009411174105480313
pharma,0.0009315116330981255
organisationsentwicklung,0.0009302747203037143
ai,0.0009297304204665124
rooms,0.0009295018971897662
coaching,0.0009291330352425575
elektronik,0.0009271697490476072
consult,0.0009238739730790257
rme,0.0009067945065908134
ba,0.0009010073263198137
kreativ,0.0008972219657152891
zeitarbeit,0.0008944608853198588
werbeartikel,0.0008931339252740145
versicherungsmakler,0.0008919743704609573
cnc,0.0008819660870358348
gesundheit,0.0008788537816144526
erp,0.0008751692366786301
support,0.000865588488522917
bearbeitung,0.0008635777630843222
werkstatt,0.0008632250828668475
kostrom,0.0008578631677664816
softwarelo,0.0008564956369809806
modelle,0.0008557407418265939
recruitment,0.0008535601082257926
hochwertigen,0.0008507079910486937
spezialita,0.0008462230325676501
elektro,0.000833860773127526
china,0.0008322845678776503
creative,0.0008313431753776968
collect,0.0008297242457047105
maschinen,0.0008272734121419489
property,0.0008140839636325836
personalberatung,0.000811830279417336
cooling,0.0008083542343229055
emergency,0.0008067687158472836
profiling,0.0008066004374995828
leasing,0.0008031210745684803
videokonferenz,0.0007993362960405648
sars,0.0007990468293428421
patients,0.0007980941445566714
versicherung,0.0007980848895385861
projektmanagement,0.0007939725765027106
schritt,0.0007893644506111741
aluminium,0.0007819371530786157
payments,0.0007812926778569818
branding,0.0007807699730619788
verkauf,0.0007805488421581686
vehicle,0.0007791604148223996
demo,0.0007731110672466457
prozess,0.0007726555340923369
brandschutz,0.0007722041918896139
cfds,0.0007715562824159861
ffp2,0.0007667026366107166
telefonie,0.0007643316639587283
photovoltaik,0.0007631962653249502
mbb,0.0007614080095663667
steuerberatungsgesellschaft,0.0007509324932470918
geba,0.0007498686900362372
metallbau,0.0007444652728736401
hr,0.0007435223669745028
or,0.0007431527483277023
seminare,0.0007401577313430607
wordpress,0.00073859968688339
digitalisierung,0.0007366013596765697
architekten,0.000736475398298353
anlagen,0.0007333877729251981
komponenten,0.0007300613797269762
booth,0.0007298108539544046
enable,0.0007277756230905652
erfolgreichen,0.000727080216165632
werkzeugmaschinen,0.0007234357763081789
finanz,0.0007231022464111447
personaldienstleister,0.0007202634587883949
organisationen,0.0007174991769716144
platform,0.0007161136018112302
kundenzentrum,0.0007151915342546999
data,0.0007111747981980443
ford,0.0007107442943379283
filter,0.0007072549196891487
softwareentwicklung,0.0007068177801556885
insurance,0.0007033198489807546
construction,0.0007020336925052106
javascript,0.0007016938179731369
designs,0.0006998900207690895
maskenpflicht,0.0006959593738429248
kampagnen,0.0006948020309209824
ems,0.000694385904353112
led,0.0006925311172381043
investment,0.0006905318005010486
motors,0.0006881529116071761
cargo,0.0006870852666907012
seat,0.000685091654304415
dir,0.0006835235399194062
wind,0.0006830538623034954
finanzielle,0.0006763067794963717
telefonanlagen,0.0006754608475603163
managed,0.0006754140486009419
steuern,0.0006750638713128865
factoring,0.000673455186188221
gutschein,0.0006685858243145049
optimierung,0.0006681809900328517
990,0.0006678845966234803
shop,0.0006676388438791037
hausverwaltung,0.0006671423907391727
disclaimer,0.000662993174046278
ste,0.0006616073078475893
internetagentur,0.0006605860544368625
gemu,0.0006567537202499807
architecture,0.0006565743824467063
integration,0.0006546617369167507
job,0.0006516221910715103
verpackungsmaschinen,0.000651176436804235
umsetzung,0.0006511447136290371
expertise,0.0006501825992017984
legal,0.0006446319748647511
werkzeuge,0.0006445001345127821
bio,0.0006440345314331353
energy,0.0006407062755897641
arzneimittel,0.0006365401204675436
tax,0.000635407108347863
fonds,0.0006334745557978749
sto,0.0006306829745881259
medizintechnik,0.0006298546213656664
verantwortlich,0.0006295543280430138
preise,0.0006289464654400945
unternehmens,0.000628391862846911
stress,0.0006278440705500543
recruiting,0.0006273037288337946
schung,0.0006271236925385892
car,0.0006271230522543192
os,0.0006254118634387851
qualifizierten,0.0006252105231396854
absicherung,0.000624986772891134
kreative,0.0006216646288521588
hotels,0.0006191366701386869
server,0.0006186331738717854
kunde,0.0006181656499393284
vermietung,0.0006157573661766946
voip,0.0006152817513793707
stil,0.0006150920526124537
kampagne,0.0006149263354018331
rechtsanwa,0.0006139461183920503
accessoires,0.000613343610893935
restaurants,0.0006131992558948696
academy,0.0006115012220107019
mandanten,0.0006113548297435045
rendite,0.0006095447461120784
immobilienbewertung,0.0006062278407625854
nstig,0.0006058498402126133
corporation,0.0006027717026881874
serie,0.0006008980562910438
strategische,0.0006008926429785788
rzte,0.0005997390835545957
3d,0.0005971589125692844
fitness,0.000595450634136796
subscription,0.0005950118647888303
trading,0.0005941665731370449
expo,0.0005932787898927927
reservations,0.0005930059705860913
arbeit,0.000589695991948247
browser,0.0005891851033084095
warenkorb,0.000587365182582289
versand,0.0005856062634848058
sms,0.000585300731472671
stahl,0.0005831229500472546
homeoffice,0.0005830840091221035
pv,0.0005822693346999586
dental,0.0005813254392705858
baugruppen,0.0005804282845929265
wandel,0.0005792919546365738
unabha,0.0005777431069873273
erreichen,0.0005736614111810923
robust,0.0005729346303269267
computer,0.0005719392793253064
capital,0.0005709502147510648
trucks,0.0005705512594431639
panel,0.0005696614971384406
risikomanagement,0.0005693085258826613
inbetriebnahme,0.0005656332359649241
fra,0.0005632563261315227
personalservice,0.0005629411316476762
ratgeber,0.0005629003862850368
beratungsunternehmen,0.0005627389182336628
oracle,0.0005613811663351953
directly,0.0005612485692836344
vertrieb,0.0005609139334410429
zimmer,0.0005602203891612589
webinare,0.0005591284716501832
sap,0.0005583895836025476
werbemittel,0.0005583067541010678
inaktiv,0.0005574101232923567
teil,0.0005561079597100616
systems,0.0005561034195125103
pc,0.000555592414457351
medizinische,0.0005548725021071732
reinigung,0.0005527109024114907
heizung,0.0005514306831173599
makler,0.0005499692051671445
mitglieder,0.0005499292747117579
grundstu,0.0005482039414346218
straßen,0.0005476155783981085
thinking,0.0005470853648148477
begeisterung,0.0005469335592351854
rgera,0.0005465189460664988
werkzeugbau,0.0005459454259835184
