,precision,recall,f1-score,support
Automotive,0.7102473498233216,0.6340694006309149,0.6699999999999999,317.0
Construction,0.6333333333333333,0.6398963730569949,0.6365979381443299,386.0
Consumer Goods,0.5030181086519114,0.49407114624505927,0.49850448654037877,506.0
Financial Services,0.8,0.7475728155339806,0.7728983688833124,412.0
Human Resources,0.725,0.6010362694300518,0.6572237960339944,193.0
Information Technology and Services,0.6346346346346347,0.8425249169435216,0.723950899229232,1505.0
Insurance,0.7706422018348624,0.672,0.7179487179487181,125.0
Legal Services,0.8842975206611571,0.8359375,0.8594377510040161,128.0
"Leisure, Travel & Tourism",0.8442622950819673,0.8442622950819673,0.8442622950819673,122.0
Logistics and Supply Chain,0.7833333333333333,0.6394557823129252,0.704119850187266,147.0
Machinery,0.460431654676259,0.5069306930693069,0.48256361922714425,505.0
Management Consulting,0.6156405990016639,0.5547226386806596,0.5835962145110409,667.0
Marketing and Advertising,0.6606170598911071,0.6973180076628352,0.6784715750232991,522.0
Mechanical or Industrial Engineering,0.506578947368421,0.5337954939341422,0.5198312236286919,577.0
Media Production,0.5,0.26556016597510373,0.34688346883468835,241.0
Medical Practice,0.7522388059701492,0.7078651685393258,0.7293777134587554,356.0
Real Estate,0.8241206030150754,0.6949152542372882,0.7540229885057472,236.0
Recreational Facilities and Services,0.6544117647058824,0.5705128205128205,0.6095890410958904,156.0
Renewables & Environment,0.6567164179104478,0.42718446601941745,0.5176470588235295,103.0
Telecommunications,0.7407407407407407,0.291970802919708,0.418848167539267,137.0
Wholesale,0.5686274509803921,0.375,0.45194805194805193,232.0
accuracy,0.6359434834279678,0.6359434834279678,0.6359434834279678,0.6359434834279678
macro avg,0.6775663248387933,0.5988858100374298,0.6275106297928248,7573.0
weighted avg,0.6394656938152321,0.6359434834279678,0.6299160584767183,7573.0
