,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,233,3,8,3,1,18,0,0,0,2,17,8,2,16,0,0,0,1,0,3,2
Construction,2,271,16,1,1,19,0,0,2,3,22,9,6,19,0,3,5,1,2,1,3
Consumer Goods,8,16,306,5,0,38,0,1,2,1,25,8,3,49,8,5,1,11,2,1,16
Financial Services,7,2,4,321,0,36,11,2,0,1,2,14,1,1,2,2,2,1,1,1,1
Human Resources,0,0,1,5,132,14,0,1,1,0,2,25,6,2,0,3,0,0,0,0,1
Information Technology and Services,5,4,20,18,9,1282,0,2,4,6,9,49,28,11,30,12,4,2,0,7,3
Insurance,0,0,0,13,0,11,91,0,0,0,0,4,2,1,0,1,2,0,0,0,0
Legal Services,0,0,1,5,0,1,0,120,0,0,0,0,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,2,1,0,7,0,0,101,0,0,1,2,0,0,0,2,4,0,0,0
Logistics and Supply Chain,4,0,6,1,0,7,1,0,0,103,7,4,0,7,2,1,0,0,1,0,3
Machinery,9,25,12,1,0,29,0,0,0,2,267,5,1,127,0,5,3,2,6,0,11
Management Consulting,2,15,6,10,19,139,3,5,1,2,4,400,27,2,5,14,4,2,2,3,2
Marketing and Advertising,1,10,12,3,0,42,0,0,2,2,3,20,394,5,12,4,1,5,0,2,4
Mechanical or Industrial Engineering,13,21,28,1,0,34,0,0,0,2,77,8,1,379,1,4,0,1,0,0,7
Media Production,0,0,11,3,4,79,0,1,2,1,0,9,53,2,70,1,0,0,0,2,3
Medical Practice,0,1,9,1,0,26,3,0,0,2,8,13,5,10,0,272,0,5,1,0,0
Real Estate,0,21,0,7,0,13,2,0,3,1,0,4,3,2,1,0,178,0,0,0,1
Recreational Facilities and Services,0,2,8,0,1,5,0,0,3,0,3,2,8,5,0,5,1,109,1,0,3
Renewables & Environment,2,5,4,1,0,6,0,0,0,0,11,3,1,15,0,0,0,0,55,0,0
Telecommunications,0,3,18,0,2,40,0,0,0,0,2,5,6,1,3,0,0,1,1,53,2
Wholesale,6,7,35,0,0,11,1,0,0,1,16,4,6,14,0,6,0,11,0,0,114
