,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,201,2,20,3,2,23,0,0,0,2,13,9,8,27,0,0,0,1,0,1,5
Construction,1,247,19,2,3,24,0,0,2,2,31,13,8,14,0,2,12,1,1,0,4
Consumer Goods,12,17,250,4,1,59,0,1,1,0,45,6,7,56,2,7,2,13,6,3,14
Financial Services,8,1,8,308,1,34,12,4,1,1,3,19,3,0,1,4,2,2,0,0,0
Human Resources,1,1,1,1,116,27,0,0,0,0,2,29,7,2,0,5,0,1,0,0,0
Information Technology and Services,10,5,18,18,7,1268,1,2,3,5,9,59,28,13,31,14,3,4,0,6,1
Insurance,2,1,0,13,0,10,84,0,0,0,1,3,3,1,0,4,3,0,0,0,0
Legal Services,0,2,2,5,0,3,0,107,0,0,0,4,2,1,0,2,0,0,0,0,0
"Leisure, Travel & Tourism",0,0,1,1,0,4,0,0,103,1,1,1,1,1,1,0,2,5,0,0,0
Logistics and Supply Chain,3,5,5,1,1,15,0,0,0,94,6,3,2,7,1,1,0,1,1,0,1
Machinery,12,26,17,2,1,28,0,0,1,3,256,7,4,118,0,7,3,1,5,1,13
Management Consulting,6,13,7,10,19,153,4,5,1,4,4,370,32,6,7,13,5,1,4,2,1
Marketing and Advertising,5,9,12,2,2,63,0,1,2,1,5,24,364,2,17,2,2,2,0,0,7
Mechanical or Industrial Engineering,13,14,38,2,2,56,0,0,0,2,110,11,2,308,0,5,0,3,1,0,10
Media Production,0,1,9,5,2,94,0,1,3,0,0,6,50,0,64,2,0,0,0,1,3
Medical Practice,2,1,8,0,0,37,3,0,1,0,12,16,3,16,0,252,1,1,1,0,2
Real Estate,0,19,2,7,1,15,5,0,3,2,6,6,3,0,0,3,164,0,0,0,0
Recreational Facilities and Services,0,2,18,0,1,8,0,0,1,0,10,3,10,3,0,4,0,89,3,0,4
Renewables & Environment,1,9,4,0,0,11,0,0,0,1,17,3,0,12,0,1,0,0,44,0,0
Telecommunications,1,4,16,1,1,48,0,0,0,0,4,7,6,3,2,1,0,1,1,40,1
Wholesale,5,11,42,0,0,18,0,0,0,2,21,2,8,18,2,6,0,10,0,0,87
