,precision,recall,f1-score,support
Automotive,0.7706093189964157,0.6782334384858044,0.7214765100671141,317.0
Construction,0.6492537313432836,0.6761658031088082,0.6624365482233503,386.0
Consumer Goods,0.5894941634241245,0.5988142292490118,0.5941176470588235,506.0
Financial Services,0.8394736842105263,0.7742718446601942,0.8055555555555556,412.0
Human Resources,0.7393939393939394,0.6321243523316062,0.6815642458100559,193.0
Information Technology and Services,0.6712328767123288,0.8465116279069768,0.7487511019688511,1505.0
Insurance,0.7981651376146789,0.696,0.7435897435897435,125.0
Legal Services,0.8787878787878788,0.90625,0.8923076923076922,128.0
"Leisure, Travel & Tourism",0.8547008547008547,0.819672131147541,0.8368200836820083,122.0
Logistics and Supply Chain,0.7709923664122137,0.6870748299319728,0.7266187050359713,147.0
Machinery,0.5400410677618069,0.5207920792079208,0.530241935483871,505.0
Management Consulting,0.6412337662337663,0.5922038980509745,0.6157443491816056,667.0
Marketing and Advertising,0.6803571428571429,0.7298850574712644,0.7042513863216266,522.0
Mechanical or Industrial Engineering,0.5564263322884012,0.6152512998266898,0.5843621399176955,577.0
Media Production,0.5075757575757576,0.27800829875518673,0.35924932975871315,241.0
Medical Practice,0.7720797720797721,0.7612359550561798,0.7666195190947666,356.0
Real Estate,0.88,0.7457627118644068,0.8073394495412843,236.0
Recreational Facilities and Services,0.6917293233082706,0.5897435897435898,0.6366782006920416,156.0
Renewables & Environment,0.8253968253968254,0.5048543689320388,0.6265060240963856,103.0
Telecommunications,0.72,0.39416058394160586,0.5094339622641509,137.0
Wholesale,0.5759162303664922,0.47413793103448276,0.5200945626477541,232.0
accuracy,0.6752938069457283,0.6752938069457283,0.6752938069457283,0.6752938069457283
macro avg,0.7120409604506895,0.6438644776526787,0.6701789853475744,7573.0
weighted avg,0.6772069370815001,0.6752938069457283,0.6706729545960344,7573.0
