,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,195,0,11,4,2,32,0,0,1,1,21,14,3,26,0,0,0,1,0,1,5
Construction,3,226,13,1,1,47,0,0,5,2,24,10,6,29,1,2,10,0,3,0,3
Consumer Goods,12,12,241,3,0,79,0,0,1,0,35,8,4,58,5,6,1,10,2,3,26
Financial Services,6,1,4,298,0,59,8,1,2,0,3,17,3,1,1,3,2,1,0,1,1
Human Resources,1,3,0,1,108,30,0,1,1,0,2,32,7,2,2,3,0,0,0,0,0
Information Technology and Services,7,9,13,13,7,1280,1,0,2,7,6,61,33,20,17,13,3,3,2,4,4
Insurance,0,0,1,15,0,20,74,0,0,0,3,2,1,0,0,5,4,0,0,0,0
Legal Services,0,0,0,8,0,10,0,97,0,0,2,5,1,1,0,0,4,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,0,1,10,0,0,94,0,1,3,2,1,0,0,3,5,0,0,0
Logistics and Supply Chain,4,1,7,1,1,26,0,0,0,88,5,5,2,5,0,1,0,0,0,0,1
Machinery,12,24,20,1,1,46,1,0,1,5,242,10,4,117,0,3,1,0,4,0,13
Management Consulting,5,11,8,12,23,176,4,5,1,2,10,343,28,8,5,12,6,3,2,2,1
Marketing and Advertising,4,10,7,4,1,91,0,1,1,2,0,24,336,2,23,5,2,3,1,0,5
Mechanical or Industrial Engineering,10,14,36,1,1,67,0,0,0,3,95,16,2,305,0,8,0,3,3,1,12
Media Production,0,0,12,2,0,95,0,0,3,0,1,9,63,0,51,1,1,2,0,0,1
Medical Practice,0,0,13,2,0,47,4,0,0,2,12,17,8,13,0,231,2,3,0,0,2
Real Estate,0,17,0,7,0,28,4,0,0,2,0,6,1,3,0,3,161,3,0,0,1
Recreational Facilities and Services,0,4,15,0,1,16,0,0,1,0,17,5,7,5,2,4,0,72,1,0,6
Renewables & Environment,1,8,2,0,0,13,0,0,0,0,24,3,1,10,1,0,0,0,40,0,0
Telecommunications,0,3,11,0,0,51,0,0,0,0,6,5,6,6,1,0,0,1,1,44,2
Wholesale,4,8,31,2,0,25,0,0,0,4,26,3,4,20,3,4,0,8,2,0,88
