,precision,recall,f1-score,support
Automotive,0.7808219178082192,0.7192429022082019,0.748768472906404,317.0
Construction,0.6707616707616708,0.7072538860103627,0.6885245901639345,386.0
Consumer Goods,0.6076923076923076,0.6245059288537549,0.6159844054580896,506.0
Financial Services,0.8354430379746836,0.8009708737864077,0.8178438661710038,412.0
Human Resources,0.7664670658682635,0.6632124352331606,0.7111111111111112,193.0
Information Technology and Services,0.7040650406504065,0.8631229235880399,0.7755223880597014,1505.0
Insurance,0.8141592920353983,0.736,0.7731092436974789,125.0
Legal Services,0.8947368421052632,0.9296875,0.9118773946360152,128.0
"Leisure, Travel & Tourism",0.8416666666666667,0.8278688524590164,0.8347107438016529,122.0
Logistics and Supply Chain,0.808,0.6870748299319728,0.7426470588235294,147.0
Machinery,0.5641547861507128,0.5485148514851486,0.5562248995983936,505.0
Management Consulting,0.6790540540540541,0.6026986506746627,0.6386020651310563,667.0
Marketing and Advertising,0.7037037037037037,0.764367816091954,0.7327823691460055,522.0
Mechanical or Industrial Engineering,0.5833333333333334,0.6308492201039861,0.6061615320566195,577.0
Media Production,0.5347222222222222,0.31950207468879666,0.39999999999999997,241.0
Medical Practice,0.8,0.7865168539325843,0.793201133144476,356.0
Real Estate,0.8676470588235294,0.75,0.8045454545454546,236.0
Recreational Facilities and Services,0.7241379310344828,0.6730769230769231,0.6976744186046511,156.0
Renewables & Environment,0.7466666666666667,0.5436893203883495,0.6292134831460674,103.0
Telecommunications,0.7307692307692307,0.41605839416058393,0.5302325581395348,137.0
Wholesale,0.6344086021505376,0.5086206896551724,0.5645933014354065,232.0
accuracy,0.6997226990624588,0.6997226990624588,0.6997226990624588,0.6997226990624588
macro avg,0.7282100681176834,0.6715635679204324,0.6939681185607898,7573.0
weighted avg,0.6999574800082994,0.6997226990624588,0.6953087410731225,7573.0
