,precision,recall,f1-score,support
Automotive,0.6968641114982579,0.6309148264984227,0.662251655629139,317.0
Construction,0.6422976501305483,0.6373056994818653,0.6397919375812745,386.0
Consumer Goods,0.5106796116504855,0.5197628458498024,0.515181194906954,506.0
Financial Services,0.794344473007712,0.75,0.7715355805243447,412.0
Human Resources,0.7517241379310344,0.5647668393782384,0.6449704142011834,193.0
Information Technology and Services,0.635774788241156,0.8478405315614618,0.7266514806378132,1505.0
Insurance,0.8217821782178217,0.664,0.7345132743362832,125.0
Legal Services,0.9051724137931034,0.8203125,0.860655737704918,128.0
"Leisure, Travel & Tourism",0.853448275862069,0.8114754098360656,0.8319327731092437,122.0
Logistics and Supply Chain,0.7642276422764228,0.6394557823129252,0.6962962962962963,147.0
Machinery,0.4894433781190019,0.504950495049505,0.49707602339181284,505.0
Management Consulting,0.6029411764705882,0.553223388305847,0.5770132916340891,667.0
Marketing and Advertising,0.6691312384473198,0.6934865900383141,0.6810912511759172,522.0
Mechanical or Industrial Engineering,0.5342902711323764,0.5805892547660312,0.5564784053156145,577.0
Media Production,0.46616541353383456,0.2572614107883817,0.33155080213903737,241.0
Medical Practice,0.7706422018348624,0.7078651685393258,0.7379209370424598,356.0
Real Estate,0.8058252427184466,0.7033898305084746,0.751131221719457,236.0
Recreational Facilities and Services,0.6222222222222222,0.5384615384615384,0.577319587628866,156.0
Renewables & Environment,0.7076923076923077,0.44660194174757284,0.5476190476190477,103.0
Telecommunications,0.7457627118644068,0.32116788321167883,0.44897959183673464,137.0
Wholesale,0.5333333333333333,0.3793103448275862,0.4433249370277078,232.0
accuracy,0.6400369734583389,0.6400369734583389,0.6400369734583389,0.6400369734583389
macro avg,0.6820840371417766,0.5986734419601445,0.6301564495932472,7573.0
weighted avg,0.6432208029167904,0.6400369734583389,0.6341707018384689,7573.0
