,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,200,3,19,1,2,25,0,0,0,2,12,13,6,27,2,0,0,1,0,0,4
Construction,2,246,13,1,1,25,0,0,3,4,26,15,9,15,0,1,16,2,3,0,4
Consumer Goods,12,17,263,4,0,53,0,1,1,0,36,8,5,55,4,3,2,15,4,2,21
Financial Services,7,1,6,309,0,44,9,2,1,1,1,19,2,3,0,4,2,1,0,0,0
Human Resources,2,1,0,2,109,24,0,0,1,0,2,37,8,2,0,4,0,1,0,0,0
Information Technology and Services,8,6,12,13,5,1276,2,1,1,6,10,57,33,15,28,13,5,4,1,6,3
Insurance,2,0,3,17,0,10,83,0,0,0,1,3,2,0,0,2,2,0,0,0,0
Legal Services,0,1,3,6,0,3,0,105,0,0,0,4,1,0,0,3,2,0,0,0,0
"Leisure, Travel & Tourism",1,1,1,1,0,10,0,0,99,0,0,0,1,1,1,0,1,5,0,0,0
Logistics and Supply Chain,4,3,5,2,0,20,0,0,0,94,5,3,2,7,0,1,0,0,1,0,0
Machinery,16,22,23,2,0,29,0,0,1,4,255,11,2,114,1,4,3,0,4,1,13
Management Consulting,3,11,9,14,22,157,3,6,0,3,7,369,27,3,9,14,4,0,2,2,2
Marketing and Advertising,5,11,11,3,2,62,0,0,2,1,4,23,362,3,22,3,1,1,0,1,5
Mechanical or Industrial Engineering,17,11,39,1,1,51,0,0,0,2,87,11,2,335,0,4,0,5,0,0,11
Media Production,0,1,11,4,2,85,0,1,3,0,2,7,53,1,62,4,0,1,0,2,2
Medical Practice,1,2,16,0,0,36,2,0,1,0,12,13,3,12,0,252,1,3,1,0,1
Real Estate,0,20,4,4,0,19,2,0,2,2,2,5,5,2,0,1,166,1,0,0,1
Recreational Facilities and Services,1,4,19,1,0,10,0,0,1,0,8,4,4,3,0,5,1,84,2,1,8
Renewables & Environment,1,5,4,0,0,11,0,0,0,0,19,1,1,13,1,1,0,0,46,0,0
Telecommunications,1,5,14,2,1,45,0,0,0,0,5,6,6,3,0,2,0,0,1,44,2
Wholesale,4,12,40,2,0,12,0,0,0,4,27,3,7,13,3,6,0,11,0,0,88
