,precision,recall,f1-score,support
Automotive,0.7447552447552448,0.6719242902208202,0.7064676616915424,317.0
Construction,0.6535626535626535,0.689119170984456,0.6708701134930644,386.0
Consumer Goods,0.6163021868787276,0.6126482213438735,0.6144697720515361,506.0
Financial Services,0.8115577889447236,0.7839805825242718,0.7975308641975308,412.0
Human Resources,0.7515527950310559,0.6269430051813472,0.6836158192090396,193.0
Information Technology and Services,0.6865271068169619,0.8498338870431894,0.7595011876484562,1505.0
Insurance,0.8113207547169812,0.688,0.7445887445887446,125.0
Legal Services,0.9069767441860465,0.9140625,0.9105058365758755,128.0
"Leisure, Travel & Tourism",0.8695652173913043,0.819672131147541,0.8438818565400844,122.0
Logistics and Supply Chain,0.825,0.673469387755102,0.7415730337078652,147.0
Machinery,0.5425101214574899,0.5306930693069307,0.5365365365365365,505.0
Management Consulting,0.6458658346333853,0.6206896551724138,0.6330275229357798,667.0
Marketing and Advertising,0.696969696969697,0.7490421455938697,0.722068328716528,522.0
Mechanical or Industrial Engineering,0.5481927710843374,0.6308492201039861,0.5866236905721193,577.0
Media Production,0.5486111111111112,0.3278008298755187,0.41038961038961047,241.0
Medical Practice,0.8136645962732919,0.7359550561797753,0.7728613569321534,356.0
Real Estate,0.8592233009708737,0.75,0.8009049773755657,236.0
Recreational Facilities and Services,0.7050359712230215,0.6282051282051282,0.6644067796610169,156.0
Renewables & Environment,0.75,0.46601941747572817,0.5748502994011976,103.0
Telecommunications,0.6911764705882353,0.34306569343065696,0.45853658536585373,137.0
Wholesale,0.6483516483516484,0.5086206896551724,0.5700483091787439,232.0
accuracy,0.6840089792684537,0.6840089792684537,0.6840089792684537,0.6840089792684537
macro avg,0.7203200959498471,0.6485997181523705,0.6763456612747069,7573.0
weighted avg,0.6865974975618196,0.6840089792684537,0.6798556126264612,7573.0
