,precision,recall,f1-score,support
Automotive,0.7027972027972028,0.6340694006309149,0.6666666666666666,317.0
Construction,0.6349614395886889,0.6398963730569949,0.6374193548387097,386.0
Consumer Goods,0.5190677966101694,0.4841897233201581,0.5010224948875256,506.0
Financial Services,0.8081081081081081,0.7257281553398058,0.7647058823529411,412.0
Human Resources,0.7261146496815286,0.5906735751295337,0.6514285714285714,193.0
Information Technology and Services,0.5952269536733739,0.8451827242524917,0.6985172981878089,1505.0
Insurance,0.7395833333333334,0.568,0.6425339366515836,125.0
Legal Services,0.908256880733945,0.7734375,0.8354430379746834,128.0
"Leisure, Travel & Tourism",0.8715596330275229,0.7786885245901639,0.8225108225108224,122.0
Logistics and Supply Chain,0.7727272727272727,0.5782312925170068,0.6614785992217899,147.0
Machinery,0.4589285714285714,0.5089108910891089,0.48262910798122066,505.0
Management Consulting,0.5819935691318328,0.5427286356821589,0.5616757176105507,667.0
Marketing and Advertising,0.672514619883041,0.6609195402298851,0.6666666666666666,522.0
Mechanical or Industrial Engineering,0.4903536977491961,0.5285961871750433,0.5087572977481234,577.0
Media Production,0.4460431654676259,0.2572614107883817,0.32631578947368417,241.0
Medical Practice,0.7540453074433657,0.6544943820224719,0.7007518796992481,356.0
Real Estate,0.8358974358974359,0.690677966101695,0.7563805104408353,236.0
Recreational Facilities and Services,0.6607142857142857,0.47435897435897434,0.5522388059701493,156.0
Renewables & Environment,0.6779661016949152,0.3883495145631068,0.49382716049382713,103.0
Telecommunications,0.7884615384615384,0.29927007299270075,0.4338624338624339,137.0
Wholesale,0.5612903225806452,0.375,0.4496124031007752,232.0
accuracy,0.6202297636339628,0.6202297636339628,0.6202297636339628,0.6202297636339628
macro avg,0.6765053278920762,0.571364992563838,0.6102116398937436,7573.0
weighted avg,0.6293856533998342,0.6202297636339628,0.6146944942261139,7573.0
