,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,201,1,16,4,2,28,0,0,0,1,18,10,5,25,0,0,0,1,0,0,5
Construction,1,247,16,1,1,39,0,0,2,2,26,14,3,15,0,4,10,1,3,0,1
Consumer Goods,15,17,245,4,0,67,0,0,1,0,38,8,5,64,2,5,1,7,3,4,20
Financial Services,8,1,5,299,0,52,10,2,2,1,1,17,4,3,1,3,2,1,0,0,0
Human Resources,1,3,0,1,114,29,0,1,1,0,2,31,7,0,1,2,0,0,0,0,0
Information Technology and Services,8,10,15,10,6,1272,3,0,2,4,10,72,25,13,30,11,5,1,2,2,4
Insurance,1,1,3,17,0,17,71,0,0,0,2,5,1,0,0,3,3,0,0,0,1
Legal Services,0,0,1,8,0,8,1,99,0,0,2,5,0,0,1,2,1,0,0,0,0
"Leisure, Travel & Tourism",1,2,2,1,0,14,0,0,95,0,1,0,1,1,0,0,1,3,0,0,0
Logistics and Supply Chain,9,1,4,1,0,21,0,0,0,85,8,6,3,5,0,3,0,0,0,0,1
Machinery,12,26,21,1,1,42,1,0,0,3,257,11,3,110,0,3,1,0,3,0,10
Management Consulting,1,14,6,13,26,155,3,6,0,1,8,362,30,10,6,13,6,2,3,1,1
Marketing and Advertising,6,6,9,1,2,81,0,1,2,2,0,22,345,4,28,5,2,2,1,1,2
Mechanical or Industrial Engineering,18,15,37,0,2,59,0,0,0,4,102,10,2,305,0,5,0,4,2,1,11
Media Production,0,1,12,1,0,88,0,0,2,0,1,12,55,1,62,2,0,2,0,0,2
Medical Practice,0,3,13,0,0,44,2,0,0,1,16,13,3,19,1,233,0,3,0,1,4
Real Estate,0,16,1,4,0,20,5,0,1,1,3,10,4,1,0,4,163,2,0,0,1
Recreational Facilities and Services,0,2,14,0,2,18,0,0,1,0,17,2,4,8,2,6,0,74,0,1,5
Renewables & Environment,1,7,5,0,0,12,0,0,0,1,18,5,0,13,1,0,0,0,40,0,0
Telecommunications,0,4,14,2,1,50,0,0,0,0,7,3,5,7,1,0,0,1,1,41,0
Wholesale,3,12,33,2,0,21,0,0,0,4,23,4,8,18,3,5,0,8,1,0,87
