,precision,recall,f1-score,support
Automotive,0.7035714285714286,0.6214511041009464,0.6599664991624791,317.0
Construction,0.6385224274406333,0.6269430051813472,0.6326797385620916,386.0
Consumer Goods,0.5223577235772358,0.5079051383399209,0.5150300601202403,506.0
Financial Services,0.8016528925619835,0.7063106796116505,0.7509677419354839,412.0
Human Resources,0.7261146496815286,0.5906735751295337,0.6514285714285714,193.0
Information Technology and Services,0.5908667287977633,0.8425249169435216,0.6946042180224596,1505.0
Insurance,0.7352941176470589,0.6,0.6607929515418502,125.0
Legal Services,0.8938053097345132,0.7890625,0.8381742738589212,128.0
"Leisure, Travel & Tourism",0.8347826086956521,0.7868852459016393,0.810126582278481,122.0
Logistics and Supply Chain,0.773109243697479,0.6258503401360545,0.6917293233082706,147.0
Machinery,0.46055045871559636,0.497029702970297,0.4780952380952381,505.0
Management Consulting,0.589018302828619,0.5307346326836582,0.5583596214511042,667.0
Marketing and Advertising,0.6774809160305344,0.6800766283524904,0.6787762906309751,522.0
Mechanical or Industrial Engineering,0.4928909952606635,0.5407279029462738,0.515702479338843,577.0
Media Production,0.42424242424242425,0.23236514522821577,0.3002680965147453,241.0
Medical Practice,0.7532894736842105,0.6432584269662921,0.693939393939394,356.0
Real Estate,0.8308457711442786,0.7076271186440678,0.7643020594965675,236.0
Recreational Facilities and Services,0.6434782608695652,0.47435897435897434,0.5461254612546125,156.0
Renewables & Environment,0.65,0.3786407766990291,0.47852760736196326,103.0
Telecommunications,0.82,0.29927007299270075,0.4385026737967914,137.0
Wholesale,0.5915492957746479,0.3620689655172414,0.4491978609625668,232.0
accuracy,0.6199656675029711,0.6199656675029711,0.6199656675029711,0.6199656675029711
macro avg,0.6739725251883724,0.5735126120335169,0.6098712734791262,7573.0
weighted avg,0.628839454856879,0.6199656675029711,0.613922929556744,7573.0
