,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,211,1,9,2,2,15,0,0,0,1,26,8,5,27,0,2,0,3,0,1,4
Construction,0,266,19,2,1,20,0,0,1,1,25,8,7,19,0,2,5,0,3,1,6
Consumer Goods,11,21,313,1,1,37,0,1,1,0,27,4,8,41,1,8,2,12,3,2,12
Financial Services,9,5,2,315,2,36,12,2,1,0,1,17,1,1,0,2,4,0,0,2,0
Human Resources,0,1,1,2,122,18,1,0,0,0,2,39,4,2,0,1,0,0,0,0,0
Information Technology and Services,4,5,20,14,5,1290,0,3,0,6,4,58,31,15,26,9,3,1,0,6,5
Insurance,2,1,1,16,0,8,87,0,0,0,1,4,0,2,0,2,1,0,0,0,0
Legal Services,0,1,1,3,0,3,0,117,0,0,0,3,0,0,0,0,0,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,0,0,7,0,0,101,0,1,1,3,0,0,0,1,4,0,0,1
Logistics and Supply Chain,3,3,7,0,0,7,0,0,0,100,7,2,2,10,1,2,0,0,1,1,1
Machinery,10,23,15,1,0,31,0,0,0,3,261,10,4,123,1,5,1,2,3,1,11
Management Consulting,4,14,8,10,18,132,3,6,0,2,4,417,24,6,6,6,2,1,2,1,1
Marketing and Advertising,1,10,7,3,1,49,0,0,5,2,2,13,393,6,21,2,1,1,0,1,4
Mechanical or Industrial Engineering,14,16,31,1,1,40,0,0,0,2,67,11,4,370,1,4,3,1,0,0,11
Media Production,1,1,10,3,1,80,0,1,2,1,1,8,42,1,80,1,3,0,0,3,2
Medical Practice,2,4,7,0,2,24,3,0,0,1,5,14,5,16,0,266,0,5,1,0,1
Real Estate,0,22,3,8,0,9,1,0,1,1,2,2,4,3,0,0,180,0,0,0,0
Recreational Facilities and Services,1,2,8,0,1,7,0,0,3,0,10,3,5,6,0,7,0,99,0,0,4
Renewables & Environment,2,4,7,2,0,7,0,0,0,0,15,3,1,14,0,0,0,0,47,0,1
Telecommunications,0,3,14,1,1,49,0,0,0,0,4,7,6,3,1,0,0,0,0,46,2
Wholesale,4,6,28,3,1,9,0,0,1,0,21,3,6,15,0,6,0,8,0,0,121
