,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,198,1,16,4,2,27,0,0,0,2,13,11,6,29,0,0,0,1,0,1,6
Construction,1,249,22,0,1,23,2,0,2,3,31,13,9,17,0,2,6,1,2,0,2
Consumer Goods,8,16,260,4,0,53,0,1,0,1,38,8,4,64,5,5,1,13,4,2,19
Financial Services,6,2,7,311,0,42,10,3,2,1,2,18,1,0,0,3,2,1,0,1,0
Human Resources,2,0,2,2,113,25,1,1,1,0,2,30,7,3,0,4,0,0,0,0,0
Information Technology and Services,10,5,22,15,6,1279,1,2,2,5,10,50,29,14,25,10,3,4,1,9,3
Insurance,2,0,2,15,0,9,81,0,0,0,3,3,2,1,0,4,3,0,0,0,0
Legal Services,0,1,2,5,0,2,0,108,0,0,1,5,2,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,4,1,0,10,0,0,98,0,1,0,1,2,0,0,1,3,0,0,0
Logistics and Supply Chain,3,2,7,2,0,16,0,0,0,93,3,6,3,7,0,1,0,0,1,0,3
Machinery,16,22,17,2,0,26,0,0,1,3,261,7,1,127,0,2,3,1,5,1,10
Management Consulting,4,13,7,14,23,147,3,6,0,2,8,373,32,4,6,14,6,1,2,1,1
Marketing and Advertising,4,11,17,3,2,56,0,0,2,2,1,21,359,2,28,5,3,1,1,1,3
Mechanical or Industrial Engineering,11,18,38,0,1,53,0,0,0,3,98,8,3,328,0,4,0,3,0,0,9
Media Production,0,1,12,3,1,89,0,1,3,1,1,7,46,1,67,4,0,1,0,1,2
Medical Practice,0,3,10,1,0,27,2,0,0,1,16,13,5,14,1,256,0,4,1,0,2
Real Estate,0,20,2,4,0,15,5,1,3,1,2,10,2,2,0,1,165,1,0,1,1
Recreational Facilities and Services,0,3,13,1,1,11,0,0,1,0,9,3,6,5,0,5,0,90,2,0,6
Renewables & Environment,2,5,9,0,0,7,0,0,0,0,17,2,0,13,1,1,0,0,45,1,0
Telecommunications,0,5,10,1,1,49,0,0,0,0,6,5,6,3,2,0,0,1,1,45,2
Wholesale,4,13,36,1,0,17,0,0,0,1,24,2,7,14,2,6,0,11,0,0,94
