,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,83,4,19,6,2,142,0,2,0,4,5,9,12,19,2,4,0,1,0,0,3
Construction,6,86,13,2,5,189,2,0,2,2,21,12,8,15,0,5,10,2,0,0,6
Consumer Goods,16,7,123,9,1,202,0,1,3,2,21,13,15,43,4,9,3,10,3,3,18
Financial Services,5,3,6,179,0,156,5,2,0,0,6,17,7,6,0,6,7,3,1,0,3
Human Resources,0,0,5,5,41,94,4,1,0,2,3,18,3,6,2,7,1,0,0,0,1
Information Technology and Services,15,16,31,20,13,1143,2,3,6,2,34,76,49,39,14,20,6,5,0,5,6
Insurance,1,0,5,10,2,52,29,1,0,1,1,9,4,1,2,5,2,0,0,0,0
Legal Services,0,2,2,2,1,67,0,32,1,0,3,7,3,3,1,2,0,1,0,0,1
"Leisure, Travel & Tourism",3,3,3,4,0,44,0,0,50,0,5,2,3,2,0,1,1,1,0,0,0
Logistics and Supply Chain,3,2,5,2,0,68,1,2,0,35,3,3,3,7,3,8,2,0,0,0,0
Machinery,16,12,25,8,1,221,2,2,0,3,84,15,10,66,6,9,5,7,2,2,9
Management Consulting,2,8,10,15,14,369,6,2,5,5,9,162,19,16,5,8,7,3,0,1,1
Marketing and Advertising,7,8,16,4,6,263,2,0,2,1,7,23,132,12,22,5,2,5,1,1,3
Mechanical or Industrial Engineering,13,13,27,5,2,285,1,2,0,2,43,19,13,130,4,7,2,1,1,1,6
Media Production,3,3,12,5,1,132,0,1,2,1,1,13,28,5,25,1,1,2,1,1,3
Medical Practice,3,3,10,7,2,156,3,0,3,0,10,21,14,20,2,98,0,1,0,1,2
Real Estate,1,11,4,7,2,94,0,0,4,0,4,10,5,5,2,0,83,3,0,0,1
Recreational Facilities and Services,3,2,12,1,0,78,0,0,1,0,10,1,10,6,2,9,0,16,1,0,4
Renewables & Environment,1,2,7,3,0,36,1,0,0,0,13,2,1,13,0,0,1,2,20,0,1
Telecommunications,2,2,9,4,1,87,0,0,0,0,3,3,7,3,1,1,0,1,0,12,1
Wholesale,5,0,29,2,2,91,1,2,1,1,10,7,6,11,1,5,3,9,1,0,45
