,precision,recall,f1-score,support
Automotive,0.7740863787375415,0.7350157728706624,0.7540453074433656,317.0
Construction,0.7004950495049505,0.7331606217616581,0.7164556962025317,386.0
Consumer Goods,0.6031434184675835,0.6067193675889329,0.6049261083743842,506.0
Financial Services,0.8145363408521303,0.7888349514563107,0.8014796547472256,412.0
Human Resources,0.7852760736196319,0.6632124352331606,0.7191011235955057,193.0
Information Technology and Services,0.690385659967409,0.8445182724252491,0.7597130902570233,1505.0
Insurance,0.8230088495575221,0.744,0.7815126050420168,125.0
Legal Services,0.8931297709923665,0.9140625,0.9034749034749036,128.0
"Leisure, Travel & Tourism",0.8046875,0.8442622950819673,0.824,122.0
Logistics and Supply Chain,0.8253968253968254,0.7074829931972789,0.7619047619047618,147.0
Machinery,0.583864118895966,0.5445544554455446,0.5635245901639344,505.0
Management Consulting,0.660655737704918,0.6041979010494752,0.6311667971808926,667.0
Marketing and Advertising,0.6976744186046512,0.7471264367816092,0.7215541165587419,522.0
Mechanical or Industrial Engineering,0.5723172628304821,0.6377816291161178,0.6032786885245901,577.0
Media Production,0.47183098591549294,0.27800829875518673,0.34986945169712796,241.0
Medical Practice,0.793002915451895,0.7640449438202247,0.7782546494992847,356.0
Real Estate,0.8866995073891626,0.7627118644067796,0.8200455580865603,236.0
Recreational Facilities and Services,0.7152317880794702,0.6923076923076923,0.7035830618892508,156.0
Renewables & Environment,0.7375,0.5728155339805825,0.6448087431693988,103.0
Telecommunications,0.703125,0.3284671532846715,0.44776119402985076,137.0
Wholesale,0.6145833333333334,0.5086206896551724,0.5566037735849056,232.0
accuracy,0.6931202957876668,0.6931202957876668,0.6931202957876668,0.6931202957876668
macro avg,0.72145861596673,0.6677098003913465,0.6879554226393456,7573.0
weighted avg,0.6926581288524379,0.6931202957876668,0.688204391479169,7573.0
