,precision,recall,f1-score,support
Automotive,0.7003484320557491,0.6340694006309149,0.6655629139072848,317.0
Construction,0.6382428940568475,0.6398963730569949,0.6390685640362225,386.0
Consumer Goods,0.5123456790123457,0.49209486166007904,0.502016129032258,506.0
Financial Services,0.7901554404145078,0.7402912621359223,0.7644110275689223,412.0
Human Resources,0.7530864197530864,0.6321243523316062,0.6873239436619718,193.0
Information Technology and Services,0.635007458975634,0.8485049833887043,0.7263936291240045,1505.0
Insurance,0.8018867924528302,0.68,0.735930735930736,125.0
Legal Services,0.8991596638655462,0.8359375,0.8663967611336032,128.0
"Leisure, Travel & Tourism",0.8512396694214877,0.8442622950819673,0.8477366255144033,122.0
Logistics and Supply Chain,0.7364341085271318,0.6462585034013606,0.6884057971014493,147.0
Machinery,0.47924528301886793,0.502970297029703,0.49082125603864735,505.0
Management Consulting,0.6266891891891891,0.5562218890554723,0.5893566322478156,667.0
Marketing and Advertising,0.6684981684981685,0.6992337164750958,0.6835205992509363,522.0
Mechanical or Industrial Engineering,0.5,0.5493934142114385,0.5235342691990091,577.0
Media Production,0.5546218487394958,0.27385892116182575,0.3666666666666667,241.0
Medical Practice,0.744927536231884,0.7219101123595506,0.7332382310984307,356.0
Real Estate,0.8316831683168316,0.711864406779661,0.767123287671233,236.0
Recreational Facilities and Services,0.6275862068965518,0.5833333333333334,0.6046511627906977,156.0
Renewables & Environment,0.703125,0.4368932038834951,0.5389221556886227,103.0
Telecommunications,0.7543859649122807,0.31386861313868614,0.44329896907216493,137.0
Wholesale,0.6068965517241379,0.3793103448275862,0.46684350132625996,232.0
accuracy,0.6412254060478014,0.6412254060478014,0.6412254060478014,0.6412254060478014
macro avg,0.6864554988601226,0.6058237039973046,0.6348201360981589,7573.0
weighted avg,0.6455458216334038,0.6412254060478014,0.6350408578386918,7573.0
